No.,Month,Year,Line,Number_Accident,Delay,Solving_Problem,Traction_System,Brake_System,Door_System,Electrification_System,Rail/Third Rail,Turnout_Point_Machine,Axel_Counter,Signalling_System,External,Other
211,มิถุนายน,2567,สายสีทอง,2,16,99,0,0,0,0,0,2,0,0,0,0
212,มิถุนายน,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
213,มิถุนายน,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
214,มิถุนายน,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),3,15,15,1,2,0,0,0,0,0,0,0,0
215,มิถุนายน,2567,สายสีแดงเหนือ,1,14,43,1,0,0,0,0,0,0,0,0,0
216,มิถุนายน,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
217,มิถุนายน,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
218,มิถุนายน,2567,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
219,กรกฎาคม,2567,สายสีเขียว (สายสุขุมวิท),1,10,10,0,0,0,0,0,0,0,1,0,0
220,กรกฎาคม,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
221,กรกฎาคม,2567,สายสีทอง,1,6,29,0,0,0,0,0,1,0,0,0,0
222,กรกฎาคม,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
223,กรกฎาคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
224,กรกฎาคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),3,213,213,1,0,0,0,0,1,0,0,0,1
225,กรกฎาคม,2567,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
226,กรกฎาคม,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
227,กรกฎาคม,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
228,กรกฎาคม,2567,สายสีชมพู,1,108,108,1,0,0,0,0,0,0,0,0,0
229,สิงหาคม,2567,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
230,สิงหาคม,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
